INFO     Round   0 || Average train loss 0.658 || Average test loss 0.282 || Average test accuracy 91.592
INFO     Round   1 || Average train loss 0.148 || Average test loss 0.209 || Average test accuracy 93.819
INFO     Round   2 || Average train loss 0.098 || Average test loss 0.152 || Average test accuracy 95.578
INFO     Round   3 || Average train loss 0.065 || Average test loss 0.138 || Average test accuracy 96.078
INFO     Round   4 || Average train loss 0.057 || Average test loss 0.118 || Average test accuracy 96.584
INFO     Round   5 || Average train loss 0.050 || Average test loss 0.110 || Average test accuracy 96.799
INFO     Round   6 || Average train loss 0.057 || Average test loss 0.106 || Average test accuracy 96.918
INFO     Round   7 || Average train loss 0.046 || Average test loss 0.096 || Average test accuracy 97.137
INFO     Round   8 || Average train loss 0.035 || Average test loss 0.089 || Average test accuracy 97.463
INFO     Round   9 || Average train loss 0.039 || Average test loss 0.087 || Average test accuracy 97.445
INFO     Round  10 || Average train loss 0.034 || Average test loss 0.086 || Average test accuracy 97.513
INFO     Round  11 || Average train loss 0.036 || Average test loss 0.080 || Average test accuracy 97.671
INFO     Round  12 || Average train loss 0.031 || Average test loss 0.079 || Average test accuracy 97.666
INFO     Round  13 || Average train loss 0.034 || Average test loss 0.072 || Average test accuracy 97.857
INFO     Round  14 || Average train loss 0.028 || Average test loss 0.070 || Average test accuracy 97.853
INFO     Round  15 || Average train loss 0.027 || Average test loss 0.068 || Average test accuracy 97.958
INFO     Round  16 || Average train loss 0.023 || Average test loss 0.064 || Average test accuracy 98.082
INFO     Round  17 || Average train loss 0.026 || Average test loss 0.067 || Average test accuracy 98.068
INFO     Round  18 || Average train loss 0.027 || Average test loss 0.063 || Average test accuracy 98.116
INFO     Round  19 || Average train loss 0.022 || Average test loss 0.064 || Average test accuracy 98.102
INFO     Round  20 || Average train loss 0.027 || Average test loss 0.062 || Average test accuracy 98.149
INFO     Round  21 || Average train loss 0.023 || Average test loss 0.061 || Average test accuracy 98.172
INFO     Round  22 || Average train loss 0.025 || Average test loss 0.061 || Average test accuracy 98.151
INFO     Round  23 || Average train loss 0.022 || Average test loss 0.059 || Average test accuracy 98.251
INFO     Round  24 || Average train loss 0.020 || Average test loss 0.057 || Average test accuracy 98.293
INFO     Round  25 || Average train loss 0.021 || Average test loss 0.058 || Average test accuracy 98.291
INFO     Round  26 || Average train loss 0.023 || Average test loss 0.054 || Average test accuracy 98.332
INFO     Round  27 || Average train loss 0.023 || Average test loss 0.057 || Average test accuracy 98.299
INFO     Round  28 || Average train loss 0.017 || Average test loss 0.053 || Average test accuracy 98.381
INFO     Round  29 || Average train loss 0.018 || Average test loss 0.051 || Average test accuracy 98.428
INFO     Round  30 || Average train loss 0.020 || Average test loss 0.053 || Average test accuracy 98.398
INFO     Round  31 || Average train loss 0.019 || Average test loss 0.053 || Average test accuracy 98.426
INFO     Round  32 || Average train loss 0.016 || Average test loss 0.050 || Average test accuracy 98.514
INFO     Round  33 || Average train loss 0.020 || Average test loss 0.054 || Average test accuracy 98.377
INFO     Round  34 || Average train loss 0.019 || Average test loss 0.053 || Average test accuracy 98.397
INFO     Round  35 || Average train loss 0.014 || Average test loss 0.048 || Average test accuracy 98.532
INFO     Round  36 || Average train loss 0.014 || Average test loss 0.050 || Average test accuracy 98.485
INFO     Round  37 || Average train loss 0.016 || Average test loss 0.047 || Average test accuracy 98.559
INFO     Round  38 || Average train loss 0.015 || Average test loss 0.048 || Average test accuracy 98.533
INFO     Round  39 || Average train loss 0.015 || Average test loss 0.049 || Average test accuracy 98.529
INFO     Round  40 || Average train loss 0.013 || Average test loss 0.047 || Average test accuracy 98.578
INFO     Round  41 || Average train loss 0.018 || Average test loss 0.047 || Average test accuracy 98.572
INFO     Round  42 || Average train loss 0.015 || Average test loss 0.046 || Average test accuracy 98.594
INFO     Round  43 || Average train loss 0.015 || Average test loss 0.047 || Average test accuracy 98.551
INFO     Round  44 || Average train loss 0.013 || Average test loss 0.047 || Average test accuracy 98.570
INFO     Round  45 || Average train loss 0.012 || Average test loss 0.047 || Average test accuracy 98.582
INFO     Round  46 || Average train loss 0.015 || Average test loss 0.047 || Average test accuracy 98.554
INFO     Round  47 || Average train loss 0.014 || Average test loss 0.047 || Average test accuracy 98.564
INFO     Round  48 || Average train loss 0.015 || Average test loss 0.046 || Average test accuracy 98.634
INFO     Round  49 || Average train loss 0.015 || Average test loss 0.045 || Average test accuracy 98.565
INFO     Round  50 || Average train loss 0.012 || Average test loss 0.045 || Average test accuracy 98.630
INFO     Round  53 || Average train loss 0.013 || Average test loss 0.046 || Average test accuracy 98.629
INFO     Round  54 || Average train loss 0.014 || Average test loss 0.046 || Average test accuracy 98.622
INFO     Round  55 || Average train loss 0.009 || Average test loss 0.046 || Average test accuracy 98.702
INFO     Round  56 || Average train loss 0.012 || Average test loss 0.044 || Average test accuracy 98.680
INFO     Round  57 || Average train loss 0.009 || Average test loss 0.043 || Average test accuracy 98.707
INFO     Round  58 || Average train loss 0.009 || Average test loss 0.042 || Average test accuracy 98.730
INFO     Round  59 || Average train loss 0.012 || Average test loss 0.044 || Average test accuracy 98.672
INFO     Round  60 || Average train loss 0.011 || Average test loss 0.044 || Average test accuracy 98.692
INFO     Round  61 || Average train loss 0.012 || Average test loss 0.045 || Average test accuracy 98.627
INFO     Round  62 || Average train loss 0.010 || Average test loss 0.040 || Average test accuracy 98.768
INFO     Round  63 || Average train loss 0.009 || Average test loss 0.040 || Average test accuracy 98.777
INFO     Round  64 || Average train loss 0.009 || Average test loss 0.043 || Average test accuracy 98.681
INFO     Round  65 || Average train loss 0.010 || Average test loss 0.043 || Average test accuracy 98.714
INFO     Round  66 || Average train loss 0.014 || Average test loss 0.042 || Average test accuracy 98.725
INFO     Round  67 || Average train loss 0.012 || Average test loss 0.042 || Average test accuracy 98.717
INFO     Round  68 || Average train loss 0.008 || Average test loss 0.041 || Average test accuracy 98.775
INFO     Round  69 || Average train loss 0.010 || Average test loss 0.041 || Average test accuracy 98.759
INFO     Round  70 || Average train loss 0.010 || Average test loss 0.040 || Average test accuracy 98.755
INFO     Round  71 || Average train loss 0.007 || Average test loss 0.038 || Average test accuracy 98.819
INFO     Round  72 || Average train loss 0.010 || Average test loss 0.040 || Average test accuracy 98.764
INFO     Round  73 || Average train loss 0.010 || Average test loss 0.039 || Average test accuracy 98.799
INFO     Round  74 || Average train loss 0.009 || Average test loss 0.040 || Average test accuracy 98.821
INFO     Round  75 || Average train loss 0.009 || Average test loss 0.039 || Average test accuracy 98.816
INFO     Round  76 || Average train loss 0.010 || Average test loss 0.042 || Average test accuracy 98.725
INFO     Round  77 || Average train loss 0.013 || Average test loss 0.041 || Average test accuracy 98.768
INFO     Round  78 || Average train loss 0.008 || Average test loss 0.038 || Average test accuracy 98.850
INFO     Round  79 || Average train loss 0.007 || Average test loss 0.040 || Average test accuracy 98.784
INFO     Round  80 || Average train loss 0.008 || Average test loss 0.040 || Average test accuracy 98.786
INFO     Round  81 || Average train loss 0.009 || Average test loss 0.041 || Average test accuracy 98.781
INFO     Round  82 || Average train loss 0.010 || Average test loss 0.040 || Average test accuracy 98.775
INFO     Round  83 || Average train loss 0.010 || Average test loss 0.042 || Average test accuracy 98.723
INFO     Round  84 || Average train loss 0.007 || Average test loss 0.039 || Average test accuracy 98.806
INFO     Round  85 || Average train loss 0.012 || Average test loss 0.041 || Average test accuracy 98.772
INFO     Round  86 || Average train loss 0.009 || Average test loss 0.041 || Average test accuracy 98.755
INFO     Round  87 || Average train loss 0.008 || Average test loss 0.037 || Average test accuracy 98.851
INFO     Round  88 || Average train loss 0.007 || Average test loss 0.040 || Average test accuracy 98.801
INFO     Round  89 || Average train loss 0.007 || Average test loss 0.041 || Average test accuracy 98.809
INFO     Round  90 || Average train loss 0.010 || Average test loss 0.041 || Average test accuracy 98.764
INFO     Round  91 || Average train loss 0.008 || Average test loss 0.040 || Average test accuracy 98.823
INFO     Round  92 || Average train loss 0.009 || Average test loss 0.039 || Average test accuracy 98.834
INFO     Round  93 || Average train loss 0.008 || Average test loss 0.041 || Average test accuracy 98.738
INFO     Round  94 || Average train loss 0.009 || Average test loss 0.039 || Average test accuracy 98.821
INFO     Round  95 || Average train loss 0.007 || Average test loss 0.038 || Average test accuracy 98.814
INFO     Round  96 || Average train loss 0.008 || Average test loss 0.040 || Average test accuracy 98.818
INFO     Round  97 || Average train loss 0.010 || Average test loss 0.040 || Average test accuracy 98.794
INFO     Round  98 || Average train loss 0.006 || Average test loss 0.037 || Average test accuracy 98.877
INFO     Round  99 || Average train loss 0.007 || Average test loss 0.037 || Average test accuracy 98.881
