INFO     Round   0 || Average train loss 0.112 || Average test loss 8.281 || Average test accuracy 18.450
INFO     Round   1 || Average train loss 0.045 || Average test loss 8.642 || Average test accuracy 16.741
INFO     Round   2 || Average train loss 0.038 || Average test loss 7.098 || Average test accuracy 18.960
INFO     Round   3 || Average train loss 0.050 || Average test loss 6.335 || Average test accuracy 21.857
INFO     Round   4 || Average train loss 0.019 || Average test loss 6.273 || Average test accuracy 17.352
INFO     Round   5 || Average train loss 0.035 || Average test loss 4.933 || Average test accuracy 21.160
INFO     Round   6 || Average train loss 0.023 || Average test loss 4.180 || Average test accuracy 23.052
INFO     Round   7 || Average train loss 0.019 || Average test loss 4.217 || Average test accuracy 23.199
INFO     Round   8 || Average train loss 0.015 || Average test loss 3.130 || Average test accuracy 31.783
INFO     Round   9 || Average train loss 0.022 || Average test loss 2.923 || Average test accuracy 31.000
INFO     Round  10 || Average train loss 0.018 || Average test loss 3.352 || Average test accuracy 34.813
INFO     Round  11 || Average train loss 0.016 || Average test loss 3.208 || Average test accuracy 34.703
INFO     Round  12 || Average train loss 0.018 || Average test loss 2.495 || Average test accuracy 38.891
INFO     Round  13 || Average train loss 0.012 || Average test loss 2.081 || Average test accuracy 50.094
INFO     Round  14 || Average train loss 0.015 || Average test loss 1.932 || Average test accuracy 49.817
INFO     Round  15 || Average train loss 0.015 || Average test loss 2.075 || Average test accuracy 48.715
INFO     Round  16 || Average train loss 0.015 || Average test loss 2.256 || Average test accuracy 53.421
INFO     Round  17 || Average train loss 0.012 || Average test loss 1.608 || Average test accuracy 59.208
INFO     Round  18 || Average train loss 0.011 || Average test loss 1.581 || Average test accuracy 56.926
INFO     Round  19 || Average train loss 0.006 || Average test loss 1.529 || Average test accuracy 61.477
INFO     Round  20 || Average train loss 0.011 || Average test loss 1.323 || Average test accuracy 65.261
INFO     Round  21 || Average train loss 0.020 || Average test loss 1.788 || Average test accuracy 58.734
INFO     Round  22 || Average train loss 0.008 || Average test loss 1.750 || Average test accuracy 59.503
INFO     Round  23 || Average train loss 0.009 || Average test loss 1.355 || Average test accuracy 64.208
INFO     Round  24 || Average train loss 0.010 || Average test loss 1.204 || Average test accuracy 66.243
INFO     Round  25 || Average train loss 0.006 || Average test loss 1.345 || Average test accuracy 66.756
INFO     Round  26 || Average train loss 0.009 || Average test loss 1.270 || Average test accuracy 67.755
INFO     Round  27 || Average train loss 0.008 || Average test loss 1.609 || Average test accuracy 62.344
INFO     Round  28 || Average train loss 0.009 || Average test loss 1.228 || Average test accuracy 68.551
INFO     Round  29 || Average train loss 0.011 || Average test loss 1.096 || Average test accuracy 69.841
INFO     Round  30 || Average train loss 0.010 || Average test loss 0.971 || Average test accuracy 71.911
INFO     Round  31 || Average train loss 0.011 || Average test loss 1.016 || Average test accuracy 72.938
INFO     Round  32 || Average train loss 0.005 || Average test loss 0.962 || Average test accuracy 73.533
INFO     Round  33 || Average train loss 0.009 || Average test loss 0.837 || Average test accuracy 77.120
INFO     Round  34 || Average train loss 0.009 || Average test loss 1.312 || Average test accuracy 67.331
INFO     Round  35 || Average train loss 0.006 || Average test loss 1.007 || Average test accuracy 73.204
INFO     Round  36 || Average train loss 0.006 || Average test loss 0.949 || Average test accuracy 75.163
INFO     Round  37 || Average train loss 0.005 || Average test loss 1.007 || Average test accuracy 73.897
INFO     Round  38 || Average train loss 0.004 || Average test loss 0.693 || Average test accuracy 80.126
INFO     Round  39 || Average train loss 0.006 || Average test loss 0.908 || Average test accuracy 76.173
INFO     Round  40 || Average train loss 0.007 || Average test loss 1.125 || Average test accuracy 69.354
INFO     Round  41 || Average train loss 0.008 || Average test loss 0.848 || Average test accuracy 75.636
INFO     Round  42 || Average train loss 0.006 || Average test loss 0.721 || Average test accuracy 80.505
INFO     Round  43 || Average train loss 0.007 || Average test loss 0.917 || Average test accuracy 75.767
INFO     Round  44 || Average train loss 0.008 || Average test loss 0.826 || Average test accuracy 76.931
INFO     Round  45 || Average train loss 0.009 || Average test loss 0.838 || Average test accuracy 77.263
INFO     Round  46 || Average train loss 0.005 || Average test loss 0.886 || Average test accuracy 75.993
INFO     Round  47 || Average train loss 0.005 || Average test loss 0.765 || Average test accuracy 79.604
INFO     Round  48 || Average train loss 0.005 || Average test loss 0.932 || Average test accuracy 76.523
INFO     Round  49 || Average train loss 0.006 || Average test loss 0.863 || Average test accuracy 77.779
